,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
6549,1237662637441155303,1927715247225858048,221.780879,12.446907,0.030689,134.525,10.1462,-0.1269,2
6550,1237651192427118664,490910532916766720,120.360123,44.193611,0.031372,137.591,10.7943,-3.4141,2
6551,1237655374110392422,919991380598614016,248.718421,40.194773,0.030677,134.471,10.334,0.0693,2
6552,1237655473434132784,923305034723125248,253.426434,35.371933,0.031219,136.904,10.0001,-0.7473,2
6553,1237668624622682230,2922997032320788480,184.088233,17.769243,0.030351,133.009,10.1375,-4.1219,2
6554,1237667735043571793,2975839286290573312,179.681698,22.217422,0.029431,128.893,10.252,-4.0187,2
6555,1237667485383131240,2746223318330796032,140.13632,17.702172,0.029324,128.412,10.1581,-0.4622,2
6556,1237664092894527709,2165206456733820928,120.493578,19.523904,0.028475,124.617,10.6528,-3.6795,2
6557,1237662475304632616,1896106756929513472,244.003604,32.848803,0.030943,135.663,10.0892,0.0506,2
6558,1237662301356818592,1876914509793224704,199.829099,51.126738,0.029442,128.94,10.5861,-3.365,2
6559,1237662663206961159,1851109791724759040,215.731951,36.073911,0.030116,131.957,10.1211,-1.6745,2
6560,1237661464909971628,1575153814099486720,229.506865,38.21701,0.029698,130.088,10.1839,-0.0983,2
6561,1237661210974945409,1454727046973384704,228.307187,40.537884,0.031239,136.991,10.9186,-2.861,2
6562,1237655473436819679,1101215361996449792,257.553027,30.308211,0.030698,134.566,10.9033,-3.6261,2
6563,1237671940871225558,689142312210556928,226.396123,58.07211,0.029522,129.298,10.1892,-1.6311,2
6564,1237665501105487950,2385823197904791552,209.757168,24.731085,0.03027,132.65,10.2599,-3.933,2
6565,1237667783914684423,2985989432915552256,200.293275,22.691551,0.031449,137.934,10.4144,0.7018,2
6566,1237670964854521931,2915042614895994880,153.735557,16.878717,0.028019,122.578,10.7104,-0.9012,2
6567,1237660345008717949,1366942038527862784,140.622506,38.966161,0.029053,127.2,10.4608,-3.836,2
6568,1237668495777398919,2800250297019033600,165.302587,16.724257,0.028738,125.793,10.0136,-2.8149,2
6569,1237667254550724895,2504154288939362304,179.882277,30.155656,0.029245,128.056,10.4574,-3.5918,2
6570,1237658205586128963,1093409107722921984,188.031555,50.62301,0.029604,129.665,10.1255,-3.9048,2
6571,1237655129844416636,1096674928494667776,256.777035,34.234691,0.031301,137.272,10.7248,-3.6957,2
6572,1237661066026811467,1471642488023312384,149.368842,10.962595,0.029832,130.684,10.084,-4.2222,2
6573,1237658613595963423,1092260663952173056,184.509266,50.453744,0.029621,129.742,10.5211,-3.8015,2
6574,1237651272956313719,490951764602808320,118.648957,44.151815,0.031344,137.463,10.6718,-3.7223,2
6575,1237651250949718021,505608254886275072,133.059602,52.889935,0.030936,135.635,10.7586,-0.8646,2
6576,1237651754005692688,574371445279320064,169.461716,2.552677,0.02893,126.648,10.2845,-4.0054,2
6577,1237665356157288760,1190180697449457664,244.867556,36.294332,0.028929,126.645,10.3676,-3.1414,2
6578,1237659324955295958,1319638849747445760,245.694263,39.584565,0.0318,139.509,10.6349,-3.7866,2
6579,1237659329778876577,1320797460645308416,247.36153,38.419405,0.030532,133.821,10.1221,-0.9583,2
6580,1237658203451031746,1453594275152422912,226.669067,40.693041,0.03073,134.709,10.0862,-4.0478,2
6581,1237662301909614624,1894900870856861696,244.216018,33.664436,0.031216,136.887,10.2593,-0.1318,2
